{uuid},{properties.title},{properties.url},{properties.guardian},{properties.description},{properties.type},{properties.id},{properties.thumbnail},{latitude},{longitude},"{$.@id=""https://w3id.org/locolligo/VisitPlus-UK""}","{$.indexing=""indexing_VisitPlus-UK.json""}"
417,Goodshaw Chapel,https://www.english-heritage.org.uk/visit/places/Goodshaw-Chapel,English Heritage,,Chapel,,,53.73096173,-2.283412213,,
418,Great Witcombe Roman Villa,https://www.english-heritage.org.uk/visit/places/Great-Witcombe-Roman-Villa,English Heritage,,Villa,,,51.82632843,-2.147955383,,
419,Greyfriars Cloisters,https://www.english-heritage.org.uk/visit/places/great-yarmouth-row-houses-and-greyfriars-cloisters/,English Heritage,,Friary,,,52.60479898,1.730253279,,
420,Great Yarmouth Row Houses,https://www.english-heritage.org.uk/visit/places/great-yarmouth-row-houses-and-greyfriars-cloisters/,English Heritage,,House,,,52.60385548,1.73165502,,
421,Gloucester Greyfriars,https://www.english-heritage.org.uk/visit/places/greyfriars/,English Heritage,,Friary,,,51.86392731,-2.245378063,,
422,Grime's Graves,https://www.english-heritage.org.uk/visit/places/grimes-graves-prehistoric-flint-mine/,English Heritage,,Structure,,,52.47677975,0.675499143,,
423,Grimspound ,https://www.english-heritage.org.uk/visit/places/Grimspound,English Heritage,,Structure,,,50.61330992,-3.837848916,,
424,Hadleigh Castle,https://www.english-heritage.org.uk/visit/places/Hadleigh-Castle,English Heritage,,Castle,,,51.54387002,0.610205658,,
425,Hailes Abbey,https://www.english-heritage.org.uk/visit/places/Hailes-Abbey,English Heritage,,Abbey,,,51.96845579,-1.928629853,,
426,Halligye Fogou,https://www.english-heritage.org.uk/visit/places/halliggye-fogou/,English Heritage,,Structure,,,50.0711339,-5.199864328,,
427,Hardknott Roman Fort ,https://www.english-heritage.org.uk/visit/places/Hardknott-Roman-Fort,English Heritage,,Structure/Fort,,,54.40293284,-3.206295035,,
428,Hardwick Old Hall,https://www.english-heritage.org.uk/visit/places/Hardwick-Old-Hall,English Heritage,,House,,,53.16842162,-1.310334601,,
429,Hare Hill,https://www.english-heritage.org.uk/visit/places/hare-hill-hadrians-wall/,English Heritage,,Structure,,,54.97409645,-2.682689111,,
430,Harmondsworth Great Barn,https://www.english-heritage.org.uk/visit/places/harmondsworth-barn/,English Heritage,,Structure,,,51.4893007,-0.480146407,,
431,Harrows Scar Milecastle and Wall,https://www.english-heritage.org.uk/visit/places/harrows-scar-milecastle-and-wall-hadrians-wall/,English Heritage,,Structure,,,54.99073041,-2.595440712,,
432,Harry's Walls,https://www.english-heritage.org.uk/visit/places/Harrys-Walls,English Heritage,,Structure,,,49.91821116,-6.313614452,,
433,Hatfield Earthworks (Maiden Henge),https://www.english-heritage.org.uk/visit/places/hatfield-earthworks/,English Heritage,,Structure,,,51.32373294,-1.869357504,,
434,Haughmond Abbey,https://www.english-heritage.org.uk/visit/places/Haughmond-Abbey,English Heritage,,Abbey,,,52.73248926,-2.679720156,,
435,Heddon on the Wall,https://www.english-heritage.org.uk/visit/places/heddon-on-the-wall-hadrians-wall/,English Heritage,,Structure,,,54.99649651,-1.787388995,,
436,Helmsley Castle,https://www.english-heritage.org.uk/visit/places/Helmsley-Castle,English Heritage,,Castle,,,54.24445563,-1.06382684,,
437,Hill Hall,https://www.english-heritage.org.uk/visit/places/Hill-Hall,English Heritage,,House,,,51.67454267,0.1528033,,
438,Hob Hurst's House,https://www.english-heritage.org.uk/visit/places/Hob-Hursts-House,English Heritage,,Structure,,,53.21908629,-1.571630185,,
439,Home Of Charles Darwin - Down House,https://www.english-heritage.org.uk/visit/places/home-of-charles-darwin-down-house/,English Heritage,,House,,,51.33100026,0.05331064,,
440,Horne's Place Chapel,https://www.english-heritage.org.uk/visit/places/Hornes-Place-Chapel,English Heritage,,Church,,,51.04408143,0.793473709,,
441,Houghton House ,https://www.english-heritage.org.uk/visit/places/Houghton-House,English Heritage,,House,,,52.04417185,-0.486189386,,
442,Hound Tor Deserted Medieval Village,https://www.english-heritage.org.uk/visit/places/Hound-Tor-Deserted-Medieval-Village,English Heritage,,Structure,,,50.59541962,-3.773520916,,
443,Housesteads Roman Fort,https://www.english-heritage.org.uk/visit/places/housesteads-roman-fort-hadrians-wall/,English Heritage,,Structure/Fort,,,55.01330759,-2.329922328,,
444,Howden Minster,https://www.english-heritage.org.uk/visit/places/Howden-Minster,English Heritage,,Church,,,53.74572125,-0.867152965,,
445,Hurlers Stone Circles ,https://www.english-heritage.org.uk/visit/places/Hurlers-Stone-Circles,English Heritage,,Structure,,,50.51640338,-4.459659313,,
446,Hurst Castle,https://www.english-heritage.org.uk/visit/places/Hurst-Castle,English Heritage,,Castle,,,50.70607624,-1.551020811,,
447,Hylton Castle,https://www.english-heritage.org.uk/visit/places/Hylton-Castle,English Heritage,,Castle,,,54.92261835,-1.442953211,,
448,Innisidgen Lower and Upper Burial Chambers,https://www.english-heritage.org.uk/visit/places/Innisidgen-Lower-and-Upper-Burial-Chambers,English Heritage,,Structure,,,49.93502534,-6.296925143,,
449,The Iron Bridge,https://www.english-heritage.org.uk/visit/places/iron-bridge/,English Heritage,,Structure (bridge),,,52.62736267,-2.486015735,,
450,Isleham Priory Church,https://www.english-heritage.org.uk/visit/places/Isleham-Priory-Church,English Heritage,,Priory,,,52.34219997,0.410027498,,
451,Jewel Tower,https://www.english-heritage.org.uk/visit/places/Jewel-Tower,English Heritage,,Palace,,,51.4976802,-0.126663309,,
452,Jewry Wall,https://www.english-heritage.org.uk/visit/places/Jewry-Wall,English Heritage,,Structure,,,52.63514074,-1.141405555,,
453,Jordan Hill Roman Temple,https://www.english-heritage.org.uk/visit/places/Jordan-Hill-Roman-Temple,English Heritage,,Structure,,,50.63781153,-2.427011055,,
454,JW Evans Silver Factory,https://www.english-heritage.org.uk/visit/places/j-w-evans-silver-factory/,English Heritage,,Structure,,,52.48089319,-1.910137283,,
455,Kenilworth Castle and Garden,https://www.english-heritage.org.uk/visit/places/kenilworth-castle/,English Heritage,,Castle,,,52.34807437,-1.593307019,,
456,Kenwood,https://www.english-heritage.org.uk/visit/places/Kenwood,English Heritage,,House,,,51.57115524,-0.166967587,,
457,King Arthur's Rund Table,https://www.english-heritage.org.uk/visit/places/king-arthurs-round-table/,English Heritage,,Structure,,,54.6484384,-2.740764702,,
458,King Charles' Castle,https://www.english-heritage.org.uk/visit/places/king-charless-castle/,English Heritage,,Castle,,,49.96344294,-6.355502166,,
459,King Doniert's Stone,https://www.english-heritage.org.uk/visit/places/King-Donierts-Stone,English Heritage,,Structure,,,50.49238444,-4.489472659,,
460,King James and Landport Gates,https://www.english-heritage.org.uk/visit/places/king-jamess-and-landport-gates-portsmouth/,English Heritage,,Structure,,,50.7943097,-1.101776689,,
461,Kingston Russell Stone Circle,https://www.english-heritage.org.uk/visit/places/Kingston-Russell-Stone-Circle,English Heritage,,Structure,,,50.6883145,-2.59877057,,
462,Kingswood Abbey Gatehouse,https://www.english-heritage.org.uk/visit/places/Kingswood-Abbey-Gatehouse,English Heritage,,Abbey,,,51.6262451,-2.366887302,,
463,Kirby Hall,https://www.english-heritage.org.uk/visit/places/Kirby-Hall,English Heritage,,House,,,52.52431978,-0.63637398,,
464,Kirby Muxlow Castle,https://www.english-heritage.org.uk/visit/places/kirby-muxloe-castle/,English Heritage,,Castle,,,52.63662939,-1.227096657,,
465,"Kirkham House, Paignton",https://www.english-heritage.org.uk/visit/places/Kirkham-House-Paignton,English Heritage,,House ,,,50.4382286,-3.571762691,,
466,Kirkham Priory,https://www.english-heritage.org.uk/visit/places/Kirkham-Priory,English Heritage,,Priory ,,,54.08286917,-0.876339027,,
467,Kit's Coty House,https://www.english-heritage.org.uk/visit/places/kits-coty-house-and-little-kits-coty-house/,English Heritage,,Structure,,,51.31598291,0.502363904,,
468,Knight's Templar Church,https://www.english-heritage.org.uk/visit/places/Knights-Templar-Church-dover,English Heritage,,Church,,,51.11887562,1.306436372,,
469,Knowlton Church and Earth Works ,https://www.english-heritage.org.uk/visit/places/knowlton-church-and-earthworks/,English Heritage,,Church/Structure,,,50.89218165,-1.967247519,,
470,Landguard Fort ,https://www.english-heritage.org.uk/visit/places/Landguard-Fort,English Heritage,,Castle,,,51.93870127,1.32425612,,
471,Lanercost Priory ,https://www.english-heritage.org.uk/visit/places/Lanercost-Priory,English Heritage,,Priory,,,54.96593865,-2.695047641,,
472,Langley Chapel,https://www.english-heritage.org.uk/visit/places/Langley-Chapel,English Heritage,,Chapel,,,52.59672076,-2.683521958,,
473,Launceston Castle,https://www.english-heritage.org.uk/visit/places/Launceston-Castle,English Heritage,,Castle,,,50.63713714,-4.362585076,,
474,Leahill Turret and Piper Sike Turret,https://www.english-heritage.org.uk/visit/places/leahill-turret-and-piper-sike-turret-hadrians-wall/,English Heritage,,Structure,,,54.97967592,-2.648405804,,
475,Leigh Court Barn,https://www.english-heritage.org.uk/visit/places/Leigh-Court-Barn,English Heritage,,Structure,,,52.17932454,-2.318773976,,
476,Leiston Abbey,https://www.english-heritage.org.uk/visit/places/Leiston-Abbey,English Heritage,,Abbey,,,52.22169959,1.581870758,,
477,Lexden Earthworks,https://www.english-heritage.org.uk/visit/places/lexden-earthworks-and-bluebottle-grove/,English Heritage,,Structure,,,51.88532118,0.855633746,,
478,Bluebottle Grove,https://www.english-heritage.org.uk/visit/places/lexden-earthworks-and-bluebottle-grove/,English Heritage,,Structure,,,51.88407017,0.870115,,
479,Lilleshall Abbey,https://www.english-heritage.org.uk/visit/places/Lilleshall-Abbey,English Heritage,,Abbey,,,52.72480878,-2.389371513,,
480,Lincoln Medieval Bishop's Palace,https://www.english-heritage.org.uk/visit/places/Lincoln-Medieval-Bishops-Palace,English Heritage,,Palace,,,53.23334289,-0.535994046,,
481,Lindisfarme Priory ,https://www.english-heritage.org.uk/visit/places/lindisfarne-priory/,English Heritage,,Priory,,,55.66864902,-1.801251718,,
482,Lindsey St James' Chapel,https://www.english-heritage.org.uk/visit/places/lindsey-st-jamess-chapel/,English Heritage,,Chapel,,,52.06265361,0.885962329,,
483,London Wall,https://www.english-heritage.org.uk/visit/places/London-Wall,English Heritage,,Structure,,,51.50944557,-0.075699976,,
484,Longthorpe Tower,https://www.english-heritage.org.uk/visit/places/Longthorpe-Tower,English Heritage,,House,,,52.57102299,-0.286488791,,
485,Longtown Castle,https://www.english-heritage.org.uk/visit/places/Longtown-Castle,English Heritage,,Castle,,,51.95622584,-2.989570178,,
486,Ludgershall Castle and Cross,https://www.english-heritage.org.uk/visit/places/Ludgershall-Castle-and-Cross,English Heritage,,Castle,,,51.25935783,-1.623045196,,
487,Lullingstone Roman Villa,https://www.english-heritage.org.uk/visit/places/Lullingstone-Roman-Villa,English Heritage,,Villa,,,51.36436554,0.197173678,,
488,Lyddington Bede House,https://www.english-heritage.org.uk/visit/places/Lyddington-Bede-House,English Heritage,,Palace,,,52.56379206,-0.708946359,,
489,"Lydford Castle, Town Banks and Saxon Town",https://www.english-heritage.org.uk/visit/places/lydford-castle-and-saxon-town/,English Heritage,,Castle,,,50.64376332,-4.110852027,,
490,Maiden Castle,https://www.english-heritage.org.uk/visit/places/Maiden-Castle,English Heritage,,Structure,,,50.69430071,-2.470000073,,
491,Maison Dieu,https://www.english-heritage.org.uk/visit/places/Maison-Dieu,English Heritage,,House,,,51.31195293,0.874447927,,
492,Marble Hill House,https://www.english-heritage.org.uk/visit/places/Marble-Hill-House,English Heritage,,House,,,51.44924925,-0.312997149,,
493,Marmion Tower,https://www.english-heritage.org.uk/visit/places/Marmion-Tower,English Heritage,,Structure,,,54.20335596,-1.590647642,,
494,Mattersey Priory,https://www.english-heritage.org.uk/visit/places/mattersey-priory/,English Heritage,,Priory,,,53.17639735,-1.034862763,,
495,Mayburgh Henge,https://www.english-heritage.org.uk/visit/places/Mayburgh-Henge,English Heritage,,Structure,,,54.64840032,-2.746963815,,
496,Meare Fish House,https://www.english-heritage.org.uk/visit/places/Meare-Fish-House,English Heritage,,Structure,,,51.17196115,-2.77668188,,
497,Medieval Merchant's House,https://www.english-heritage.org.uk/visit/places/Medieval-Merchants-House,English Heritage,,House,,,50.89876737,-1.405540638,,
498,Merrivale Prehistoric Settlement ,https://www.english-heritage.org.uk/visit/places/Merrivale-Prehistoric-Settlement,English Heritage,,Structure,,,50.55502699,-4.043287537,,
499,Middleham Castle,https://www.english-heritage.org.uk/visit/places/Middleham-Castle,English Heritage,,Castle,,,54.2838823,-1.80643047,,
500,Milton Chantry,https://www.english-heritage.org.uk/visit/places/Milton-Chantry,English Heritage,,House,,,51.44357391,0.378201715,,
501,Minster Lovell Hall and Dovecote,https://www.english-heritage.org.uk/visit/places/Minster-Lovell-Hall-and-Dovecote,English Heritage,,House,,,51.79941021,-1.530099011,,
502,Mistley Towers ,https://www.english-heritage.org.uk/visit/places/Mistley-Towers,English Heritage,,Structure,,,51.94623611,1.079719239,,
503,Mitchell's Fold Stone Circle,https://www.english-heritage.org.uk/visit/places/Mitchells-Fold-Stone-Circle,English Heritage,,Sructure,,,52.57894279,-3.028634794,,
504,Monk Bretton Priory,https://www.english-heritage.org.uk/visit/places/Monk-Bretton-Priory,English Heritage,,Priory,,,53.55381204,-1.438439222,,
505,Moreton Corbett Castle,https://www.english-heritage.org.uk/visit/places/moreton-corbet-castle/,English Heritage,,Castle,,,52.8036598,-2.652643463,,
506,Moulton Pack Horse Bridge,https://www.english-heritage.org.uk/visit/places/moulton-packhorse-bridge/,English Heritage,,Structure (bridge),,,52.25247523,0.487320217,,
507,Mount Grace Priory ,https://www.english-heritage.org.uk/visit/places/Mount-Grace-Priory,English Heritage,,Priory/House,,,54.38002844,-1.310204597,,
508,Muchelney Abbey,https://www.english-heritage.org.uk/visit/places/Muchelney-Abbey,English Heritage,,Abbey,,,51.02062665,-2.815501755,,
509,Netheravon Dovecote,https://www.english-heritage.org.uk/visit/places/Netheravon-Dovecote,English Heritage,,Structure,,,51.23460022,-1.790831802,,
510,Netley Abbey,https://www.english-heritage.org.uk/visit/places/Netley-Abbey,English Heritage,,Abbey,,,50.87872926,-1.357463962,,
511,Nine Ladies Stone Circle,https://www.english-heritage.org.uk/visit/places/Nine-Ladies-Stone-Circle,English Heritage,,Structure,,,53.16804163,-1.628983358,,
512,Norham Castle,https://www.english-heritage.org.uk/visit/places/Norham-Castle,English Heritage,,Castle,,,55.72172837,-2.151207014,,
513,North Elmham Chapel,https://www.english-heritage.org.uk/visit/places/North-Elmham-Chapel,English Heritage,,Chapel,,,52.75542636,0.946503578,,
514,North Hinkey Conduit House,https://www.english-heritage.org.uk/visit/places/north-hinksey-conduit-house/,English Heritage,,Structure,,,51.74152816,-1.284467607,,
515,The Grange at Northington,https://www.english-heritage.org.uk/visit/places/northington-grange/,English Heritage,,House,,,51.1223391,-1.19832652,,
516,North Leigh Roman Villa,https://www.english-heritage.org.uk/visit/places/North-Leigh-Roman-Villa,English Heritage,,Villa,,,51.83580803,-1.425218678,,
517,Nunney Castle,https://www.english-heritage.org.uk/visit/places/Nunney-Castle,English Heritage,,Castle,,,51.20989759,-2.377882705,,
518,Nympsfield Long Barrow,https://www.english-heritage.org.uk/visit/places/Nympsfield-Long-Barrow,English Heritage,,Structure,,,51.71005481,-2.299541353,,
519,Odda's Chapel,https://www.english-heritage.org.uk/visit/places/Oddas-Chapel,English Heritage,,Chapel,,,51.96652203,-2.192083455,,
520,Offa's Dyke,https://www.english-heritage.org.uk/visit/places/Offas-Dyke,English Heritage,,Structure,ST 549 975,,51.70679282,-2.658441929,,
521,Okehampton Castle,https://www.english-heritage.org.uk/visit/places/Okehampton-Castle,English Heritage,,Castle,,,50.73009087,-4.009771126,,
522,Old Blockhouse,https://www.english-heritage.org.uk/visit/places/Old-Blockhouse,English Heritage,,Structure,,,49.95884353,-6.334073563,,
523,Old Gorehambury House,https://www.english-heritage.org.uk/visit/places/old-gorhambury-house/,English Heritage,,House,,,51.75610278,-0.392917585,,
524,Old Oswestry Hillfort,https://www.english-heritage.org.uk/visit/places/Old-Oswestry-Hillfort,English Heritage,,Structure,,,52.87183821,-3.048928764,,
525,Old Sarum`,https://www.english-heritage.org.uk/visit/places/Old-Sarum,English Heritage,,Castle,,,51.09344922,-1.804320071,,
526,Old Soar Manor,https://www.english-heritage.org.uk/visit/places/Old-Soar-Manor,English Heritage,,House,,,51.26307256,0.320060075,,
527,Old Wardour Castle,https://www.english-heritage.org.uk/visit/places/Old-Wardour-Castle,English Heritage,,Castle,,,51.03602923,-2.088372541,,
528,Orford Castle,https://www.english-heritage.org.uk/visit/places/Orford-Castle,English Heritage,,Castle,,,52.0945279,1.533554883,,
529,Osborne,https://www.english-heritage.org.uk/visit/places/Osborne,English Heritage,,House,,,50.75051882,-1.269907441,,
530,Over Bridge,https://www.english-heritage.org.uk/visit/places/Over-Bridge,English Heritage,,Structure (bridge),,,51.87466546,-2.268677886,,
531,Pendennis Castle,https://www.english-heritage.org.uk/visit/places/Pendennis-Castle,English Heritage,,Castle,,,50.14625007,-5.049154877,,
532,Penhallam Manor,https://www.english-heritage.org.uk/visit/places/Penhallam-Manor,English Heritage,,House,,,50.74896902,-4.520120611,,
533,Penrith Castle,https://www.english-heritage.org.uk/visit/places/Penrith-Castle,English Heritage,,Castle,,,54.66182144,-2.756512946,,
534,Pevensey Castle,https://www.english-heritage.org.uk/visit/places/Pevensey-Castle,English Heritage,,Castle,,,50.81938628,0.334931327,,
535,Peveril Castle,https://www.english-heritage.org.uk/visit/places/Peveril-Castle,English Heritage,,Castle,,,53.34009762,-1.777683243,,
536,Pickering Castle,https://www.english-heritage.org.uk/visit/places/Pickering-Castle,English Heritage,,Castle,,,54.24995784,-0.77507495,,
537,Piel Castle,https://www.english-heritage.org.uk/visit/places/Piel-Castle,English Heritage,,Castle,,,54.06261486,-3.173478995,,
538,Piercebridge Roman Bridge,https://www.english-heritage.org.uk/visit/places/Piercebridge-Roman-Bridge,English Heritage,,Structure (bridge),,,54.53432828,-1.670798412,,
539,Planetrees Roman Wall,https://www.english-heritage.org.uk/visit/places/planetrees-roman-wall-hadrians-wall/,English Heritage,,Structure,,,55.0208921,-2.112580431,,
540,Poltross Burn Milecastle,https://www.english-heritage.org.uk/visit/places/poltross-burn-milecastle-hadrians-wall/,English Heritage,,Structure,,,54.98903843,-2.573534298,,
541,Portchester Castle,https://www.english-heritage.org.uk/visit/places/Portchester-Castle,English Heritage,,Castle,,,50.83756622,-1.113730402,,
542,Porth Hellick Down Burial Chamber,https://www.english-heritage.org.uk/visit/places/Porth-Hellick-Down-Burial-Chamber,English Heritage,,Structure,,,49.9182934,-6.287032795,,
543,Portland Castle,https://www.english-heritage.org.uk/visit/places/Portland-Castle,English Heritage,,Castle,,,50.56849441,-2.44615305,,
544,Prior's Hall Barn,https://www.english-heritage.org.uk/visit/places/Priors-Hall-Barn,English Heritage,,Structure,,,51.96343958,0.23658616,,
545,Prudhoe Castle,https://www.english-heritage.org.uk/visit/places/Prudhoe-Castle,English Heritage,,Castle,,,54.9651492,-1.859401007,,
546,Ranger's House ,https://www.english-heritage.org.uk/visit/places/rangers-house-the-wernher-collection/,English Heritage,,House,,,51.47404653,-0.002245229,,
547,Ravenglass Roman Bath House,https://www.english-heritage.org.uk/visit/places/Ravenglass-Roman-Bath-House,English Heritage,,Structure,,,54.35045427,-3.404856737,,
548,Reculver Towers and Roman Fort,https://www.english-heritage.org.uk/visit/places/Reculver-Towers-and-Roman-Fort,English Heritage,,Castle/Church,,,51.37900902,1.202733069,,
549,Restormel Castle,https://www.english-heritage.org.uk/visit/places/Restormel-Castle,English Heritage,,Castle,,,50.42178306,-4.671888781,,
550,Richborough Roman Fort and Amphitheatre,https://www.english-heritage.org.uk/visit/places/Richborough-Roman-Fort-and-Amphitheatre,English Heritage,,Castle,,,51.29347771,1.334826109,,
551,Richmond Castle,https://www.english-heritage.org.uk/visit/places/Richmond-Castle,English Heritage,,Castle,,,54.40148194,-1.736559823,,
552,Rievaulx Abbey,https://www.english-heritage.org.uk/visit/places/Rievaulx-Abbey,English Heritage,,Abbey,,,54.25743004,-1.115735734,,
553,Roche Abbey,https://www.english-heritage.org.uk/visit/places/Roche-Abbey,English Heritage,,Abbey,,,53.40223081,-1.183208126,,
554,Rochester Castle,https://www.english-heritage.org.uk/visit/places/Rochester-Castle,English Heritage,,Castle,,,51.3897364,0.50207376,,
555,Rollright Stones,https://www.english-heritage.org.uk/visit/places/Rollright-Stones,English Heritage,,Structure,,,51.97578136,-1.569022443,,
556,Roman Wall St Albans,https://www.english-heritage.org.uk/visit/places/roman-wall-of-st-albans/,English Heritage,,Structure,,,51.74657441,-0.354120146,,
557,Rotherwas Chapel,https://www.english-heritage.org.uk/visit/places/Rotherwas-Chapel,English Heritage,,Chapel,,,52.04114852,-2.677927248,,
558,Royal Citadel Plymouth,https://www.english-heritage.org.uk/visit/places/Royal-Citadel-Plymouth,English Heritage,,Castle,,,50.36442591,-4.139237141,,
559,Royal Garrison Church,https://www.english-heritage.org.uk/visit/places/royal-garrison-church-portsmouth/,English Heritage,,Church,,,50.78892574,-1.103298805,,
560,Rushton Triangular Lodge,https://www.english-heritage.org.uk/visit/places/Rushton-Triangular-Lodge,English Heritage,,Structure,,,52.43958067,-0.780279166,,
561,Sandbach Crosses,https://www.english-heritage.org.uk/visit/places/Sandbach-Crosses,English Heritage,,Structure,,,53.14379825,-2.361756419,,
562,Sawley Abbey ,https://www.english-heritage.org.uk/visit/places/Sawley-Abbey,English Heritage,,Abbey,,,53.91326737,-2.340975014,,
563,Saxstead Green Post Mill,https://www.english-heritage.org.uk/visit/places/saxtead-green-post-mill/,English Heritage,,Structure,,,52.23167607,1.300644524,,
564,Scarborough Castle,https://www.english-heritage.org.uk/visit/places/Scarborough-Castle,English Heritage,,Castle,,,54.28765393,-0.388160899,,
565,Sewingshields Wall,https://www.english-heritage.org.uk/visit/places/sewingshields-wall-hadrians-wall/,English Heritage,,Structure,,,55.02594937,-2.30656206,,
566,Shap Abbey,https://www.english-heritage.org.uk/visit/places/Shap-Abbey,English Heritage,,Abbey,,,54.53005276,-2.699982473,,
567,Sherborne Old Castle,https://www.english-heritage.org.uk/visit/places/Sherborne-Old-Castle,English Heritage,,Castle,,,50.94955456,-2.502467187,,
568,Sibsey Trader Windmill,https://www.english-heritage.org.uk/visit/places/Sibsey-Trader-Windmill,English Heritage,,Structure (windmill),,,53.03937004,0.005229178,,
569,Silbury Hill,https://www.english-heritage.org.uk/visit/places/Silbury-Hill,English Heritage,,Structure,,,51.41543429,-1.857593116,,
570,Silchester Roman City Wall and Amphitheatre,https://www.english-heritage.org.uk/visit/places/silchester-roman-city-walls-and-amphitheatre/,English Heritage,,Structure,,,51.3570904,-1.083632748,,
571,Sir Bevill Grenville's Monument,https://www.english-heritage.org.uk/visit/places/sir-bevil-grenvilles-monument/,English Heritage,,Structure,,,51.43101765,-2.401282844,,
572,Skipsea Castle,https://www.english-heritage.org.uk/visit/places/Skipsea-Castle,English Heritage,,Castle,,,53.97890871,-0.22919804,,
573,Southwick Priory,https://www.english-heritage.org.uk/visit/places/Southwick-Priory,English Heritage,,Priory,,,50.87169017,-1.107397668,,
574,Spofforth Castle,https://www.english-heritage.org.uk/visit/places/Spofforth-Castle,English Heritage,,Castle,,,53.95475011,-1.452880066,,
575,Stanton Drew Circles ,https://www.english-heritage.org.uk/visit/places/stanton-drew-circles-and-cove/,English Heritage,,Structure,,,51.36735415,-2.574547144,,
576,Stannton Drew Cove,https://www.english-heritage.org.uk/visit/places/stanton-drew-circles-and-cove/,English Heritage,,Structure,,,51.36552758,-2.580270348,,
577,Stanwick Iron Age Fortifications,https://www.english-heritage.org.uk/visit/places/Stanwick-Iron-Age-Fortifications,English Heritage,,Structure,,,54.50660429,-1.725074142,,
578,St Augustine's Abbey  ,https://www.english-heritage.org.uk/visit/places/St-Augustines-Abbey,English Heritage,,Abbey,,,51.27857074,1.090790181,,
579,St Augustines Cross,https://www.english-heritage.org.uk/visit/places/St-Augustines-Cross,English Heritage,,Structure,,,51.32872829,1.360423212,,
580,St Breock Downs Monolith,https://www.english-heritage.org.uk/visit/places/St-Breock-Downs-Monolith,English Heritage,,Structure,,,50.06410775,-5.594544333,,
581,St Briavel's Castle,https://www.english-heritage.org.uk/visit/places/St-Briavels-Castle,English Heritage,,Castle,,,51.73836372,-2.640072428,,
582,St Catherine's Castle,https://www.english-heritage.org.uk/visit/places/St-Catherines-Castle,English Heritage,,Castle,,,50.32793781,-4.645499608,,
583,St Catherine's Oratory,https://www.english-heritage.org.uk/visit/places/St-Catherines-Oratory,English Heritage,,Structure,,,50.59334842,-1.303425587,,
584,Steeton Hall Gateway,https://www.english-heritage.org.uk/visit/places/Steeton-Hall-Gateway,English Heritage,,House,,,53.77669537,-1.267016557,,
585,"Colchester, St john's Abbey Gate",https://www.english-heritage.org.uk/visit/places/st-johns-abbey-gate/,English Heritage,,Abbey,,,51.8859452,0.903727028,,
586,St John's Commandery,https://www.english-heritage.org.uk/visit/places/St-Johns-Commandery,English Heritage,,Chapel,,,51.15171344,1.192659057,,
587,St Leonard's Tower,https://www.english-heritage.org.uk/visit/places/St-Leonards-Tower,English Heritage,,Castle,,,51.2883783,0.40319465,,
588,"St Mary's Church, Kempley",https://www.english-heritage.org.uk/visit/places/St-Marys-Church-Kempley,English Heritage,,Church,,,51.97917837,-2.481877961,,
589,"St Mary's Church, Studely Royal",https://www.english-heritage.org.uk/visit/places/st-marys-church-studley-royal/,English Heritage,,Church,,,54.1233333,-1.580725394,,
590,St Mawes Castle ,https://www.english-heritage.org.uk/visit/places/St-Mawes-Castle,English Heritage,,Castle,,,50.1558526,-5.025914611,,
591,Stokesay Castle,https://www.english-heritage.org.uk/visit/places/Stokesay-Castle,English Heritage,,Castle,,,52.4285612,-2.830950897,,
592,St Olaves Priory,https://www.english-heritage.org.uk/visit/places/St-Olaves-Priory,English Heritage,,Priory,,,52.53869428,1.628432385,,
593,Stonehenge,https://www.english-heritage.org.uk/visit/places/Stonehenge,English Heritage,,Structure,,,51.17890902,-1.826848578,,
594,Stoney Littleton Long Barrow,https://www.english-heritage.org.uk/visit/places/Stoney-Littleton-Long-Barrow,English Heritage,,Structure,,,51.31329208,-2.381601682,,
595,Stott Park Bobbin Mill,https://www.english-heritage.org.uk/visit/places/Stott-Park-Bobbin-Mill,English Heritage,,Structure,,,54.28465901,-2.966207099,,
596,St Pauls Monastery Jarrow,https://www.english-heritage.org.uk/visit/places/St-Pauls-Monastery-Jarrow,English Heritage,,Monastery ,,,54.98025994,-1.471845061,,
597,St Peter's Church Barton Upon Humber,https://www.english-heritage.org.uk/visit/places/St-Peters-Church-Barton-Upon-Humber,English Heritage,,Church,,,53.68331843,-0.434068206,,
598,Sutton Scarsdale Hall,https://www.english-heritage.org.uk/visit/places/Sutton-Scarsdale-Hall,English Heritage,,House,,,53.21533002,-1.339535497,,
599,Sutton Valence Castle,https://www.english-heritage.org.uk/visit/places/Sutton-Valence-Castle,English Heritage,,Castle,,,51.21226122,0.598546325,,
600,Tattersall College ,https://www.english-heritage.org.uk/visit/places/tattershall-college/,English Heritage,,House,,,53.1036185,-0.189140171,,
601,Temple Church,https://www.english-heritage.org.uk/visit/places/Temple-Church,English Heritage,,Church,,,51.45181385,-2.587121058,,
602,Temple Manor,https://www.english-heritage.org.uk/visit/places/Temple-Manor,English Heritage,,House,,,51.38908276,0.490522008,,
603,Temple of Mithras Carrawburch,https://www.english-heritage.org.uk/visit/places/temple-of-mithras-carrawburgh-hadrians-wall/,English Heritage,,Structure,,,55.03422042,-2.222137588,,
604,The Nine Stones,https://www.english-heritage.org.uk/visit/places/The-Nine-Stones,English Heritage,,Structure,,,50.71192512,-2.552328758,,
